card_id,fraud,customer_id,account_id,is_active,product_type,first_usage_date,expiry_date
CA5206,false,CU3389,AC2108,True,standard,2023-10-26,2028-11-15
CA4616,false,CU0899,AC4524,True,standard,2023-06-19,2026-07-13
CA0026,phishing,CU3170,AC1449,False,standard,2025-03-03,2029-05-21
CA1948,false,CU0444,AC2860,False,standard,2023-12-19,2026-05-21
CA2427,false,CU3236,AC5263,True,standard,2019-09-25,2025-10-28
CA1876,false,CU4188,AC0690,False,standard,2023-08-12,2026-08-18
CA3962,generic,CU4572,AC2403,False,standard,2021-09-29,2029-09-13
CA1538,false,CU0882,AC2702,True,standard,2025-01-25,2030-01-08
CA1123,false,CU1863,AC4458,True,standard,2022-05-12,2029-02-10
CA1259,false,CU4442,AC4612,True,standard,2024-10-03,2029-03-27
CA0702,false,CU0395,AC5363,True,standard,2019-04-16,2030-04-23
CA0322,false,CU4875,AC1779,False,standard,2023-06-15,2026-06-20
CA2556,false,CU1266,AC1518,True,standard,2022-02-08,2029-06-08
CA4833,false,CU4269,AC1569,True,standard,2023-07-01,2026-03-10
CA4430,generic,CU4750,AC0861,False,standard,2023-06-19,2026-05-03
CA3185,false,CU3952,AC4099,True,standard,2020-07-05,2026-06-07
CA4167,false,CU2785,AC5121,True,standard,2020-05-18,2026-03-23
CA5286,generic,CU0365,AC2160,False,standard,2023-11-18,2028-11-12
CA0752,false,CU1193,AC3114,True,standard,2025-06-03,2030-03-15
CA4837,false,CU5276,AC3579,True,standard,2019-08-21,2026-02-12
CA0074,false,CU4735,AC4922,True,standard,2017-04-14,2026-03-18
CA2238,false,CU3472,AC3069,True,standard,2020-05-12,2029-09-23
CA3661,false,CU3091,AC3331,False,standard,2018-02-27,2029-03-22
CA0524,false,CU3174,AC1437,True,standard,2020-11-30,2030-07-12
CA0718,false,CU3571,AC0819,True,standard,2018-05-31,2029-05-23
CA3551,generic,CU1075,AC4818,False,standard,2024-09-22,2029-10-05
CA0924,false,CU0836,AC3975,True,standard,2019-11-11,2025-10-10
CA3291,false,CU2930,AC4213,True,standard,2022-04-19,2030-09-14
CA1092,false,CU5050,AC1713,True,standard,2021-12-08,2029-03-12
CA3118,false,CU3577,AC1240,True,standard,2016-11-14,2025-12-11
CA4404,false,CU3743,AC3162,True,standard,2016-12-13,2026-01-04
CA2711,false,CU3940,AC3608,True,standard,2022-08-30,2030-02-15
CA2402,false,CU4301,AC3870,False,standard,2024-03-03,2029-03-28
CA0417,false,CU4868,AC3045,True,standard,2022-12-30,2030-05-15
CA1475,false,CU3535,AC0259,True,standard,2018-11-08,2029-08-07
CA3831,generic,CU3116,AC1738,False,standard,2022-06-20,2030-06-28
CA4376,false,CU2726,AC4075,True,standard,2024-07-18,2029-10-07
CA0990,generic,CU2916,AC4542,False,standard,2024-07-23,2029-06-07
CA1321,false,CU2836,AC2145,True,standard,2024-06-29,2029-07-11
CA0223,false,CU4579,AC1994,True,standard,2023-06-14,2026-06-20
CA3254,false,CU4815,AC5184,True,standard,2025-05-24,2030-06-15
CA3835,false,CU1154,AC0591,True,standard,2020-07-30,2026-08-20
CA4258,false,CU1551,AC2693,True,standard,2017-11-03,2026-08-04
CA1091,false,CU0896,AC1664,True,standard,2023-11-27,2028-12-03
CA3526,false,CU0224,AC2250,True,standard,2025-03-03,2029-10-06
CA0003,false,CU2516,AC1197,True,standard,2020-03-23,2026-04-16
CA1339,false,CU0781,AC3771,True,standard,2020-11-16,2026-10-19
CA0390,false,CU0831,AC4474,True,standard,2023-10-30,2026-05-21
CA3013,generic,CU0387,AC1524,False,standard,2016-08-01,2025-08-05
CA2817,false,CU0478,AC4894,False,standard,2022-04-11,2025-05-03
CA2190,phishing,CU1672,AC4477,False,standard,2024-06-25,2029-07-07
CA0011,false,CU1257,AC4100,True,standard,2023-02-08,2025-10-24
CA3368,false,CU4281,AC4853,True,standard,2020-05-10,2030-02-09
CA5272,false,CU1107,AC4881,True,standard,2019-11-02,2025-11-11
CA2442,false,CU1492,AC4113,True,standard,2023-08-01,2026-01-11
CA4164,false,CU1011,AC2001,True,standard,2019-07-02,2030-07-05
CA0358,false,CU2825,AC3766,True,standard,2017-03-19,2026-03-26
CA1769,false,CU3568,AC0575,True,standard,2021-07-20,2029-08-07
CA0013,false,CU0945,AC1023,True,standard,2024-08-05,2030-01-03
CA1560,false,CU3636,AC4924,True,standard,2017-07-07,2026-07-12
CA3332,false,CU3256,AC4125,True,standard,2018-07-10,2029-07-30
CA0670,false,CU5194,AC2759,False,standard,2021-11-14,2029-10-29
CA3066,false,CU4993,AC1106,True,standard,2022-10-21,2025-10-25
CA4060,false,CU2393,AC5237,True,standard,2023-10-29,2026-07-24
CA2170,false,CU4824,AC0935,True,standard,2022-05-19,2030-03-22
CA3437,false,CU4098,AC2969,True,standard,2021-10-09,2029-11-11
CA4453,false,CU3649,AC2191,True,standard,2024-05-02,2028-12-15
CA2590,false,CU3946,AC4828,False,standard,2022-12-01,2029-06-25
CA3760,false,CU2053,AC2225,True,standard,2018-09-15,2029-09-23
CA4770,false,CU3779,AC1822,True,standard,2021-11-07,2029-04-16
CA2391,false,CU4252,AC3433,True,standard,2022-05-30,2030-05-19
CA2719,false,CU4091,AC4930,True,standard,2024-10-15,2029-09-10
CA2571,false,CU3852,AC3978,True,standard,2023-02-03,2030-02-10
CA1484,false,CU0782,AC1558,True,standard,2022-01-22,2030-05-01
CA1556,false,CU3716,AC5328,True,standard,2016-12-26,2026-01-03
CA3411,false,CU2111,AC1675,True,standard,2025-03-06,2030-02-12
CA3643,false,CU0769,AC1008,True,standard,2018-06-10,2029-04-17
CA0265,false,CU3169,AC0261,True,standard,2017-04-15,2026-05-05
CA0451,false,CU4763,AC1446,True,standard,2024-05-11,2029-04-11
CA3988,false,CU0600,AC3382,False,standard,2021-07-18,2029-03-16
CA1346,false,CU0291,AC2447,True,standard,2023-08-07,2029-03-14
CA0937,false,CU3307,AC4721,True,standard,2019-11-29,2025-11-23
CA1021,false,CU1388,AC3021,True,standard,2016-02-03,2030-01-18
CA4912,false,CU0045,AC2691,True,standard,2016-04-01,2030-03-24
CA4197,false,CU1763,AC3255,True,standard,2022-12-27,2026-01-08
CA4100,false,CU1485,AC1619,True,standard,2017-09-22,2026-09-23
CA4198,false,CU1060,AC3177,True,standard,2021-01-31,2026-07-14
CA4235,false,CU0710,AC3222,True,standard,2023-03-06,2025-11-03
CA5305,false,CU2923,AC1314,True,standard,2023-08-01,2026-08-24
CA1341,false,CU3680,AC0983,True,standard,2021-02-20,2029-02-14
CA0316,false,CU4182,AC5108,True,standard,2024-07-27,2029-04-27
CA3829,false,CU2820,AC4918,True,standard,2019-03-26,2030-04-24
CA1203,false,CU1746,AC0986,True,standard,2023-08-15,2028-09-06
CA0621,false,CU2008,AC4010,True,standard,2020-12-29,2026-01-25
CA3694,generic,CU3819,AC2324,False,standard,2017-11-22,2028-12-01
CA4479,false,CU1408,AC1169,True,standard,2022-09-05,2026-08-28
CA5058,false,CU2367,AC2412,True,standard,2023-02-01,2029-07-25
CA0544,false,CU3016,AC0355,True,standard,2022-07-06,2030-04-18
CA5297,false,CU0389,AC3738,False,standard,2024-09-18,2029-10-10
CA3729,false,CU0886,AC2659,True,standard,2021-10-22,2029-11-11
CA4980,false,CU4446,AC1691,True,standard,2020-09-09,2026-09-07
CA0687,false,CU0368,AC3778,True,standard,2020-03-25,2026-02-27
CA1886,false,CU0307,AC3243,False,standard,2022-06-05,2026-09-29
CA1518,false,CU0114,AC4605,True,standard,2025-05-20,2029-08-29
CA1020,false,CU4449,AC4035,True,standard,2020-06-29,2026-07-20
CA1319,false,CU2919,AC4988,True,standard,2024-06-21,2028-12-10
CA0980,false,CU2165,AC4230,True,standard,2023-11-08,2026-09-08
CA3216,false,CU0754,AC2667,True,standard,2020-07-25,2026-10-02
CA3182,false,CU2073,AC2307,True,standard,2021-04-17,2029-04-27
CA4969,false,CU4505,AC3108,True,standard,2019-04-07,2030-05-19
CA1178,false,CU2841,AC4243,True,standard,2022-01-27,2030-01-28
CA2791,false,CU0092,AC4579,False,standard,2024-05-19,2029-06-18
CA2429,false,CU0548,AC4412,True,standard,2023-09-23,2028-10-17
CA3700,false,CU2225,AC4455,False,standard,2016-03-17,2030-03-16
CA3894,false,CU0837,AC2576,True,standard,2021-12-24,2030-01-17
CA3056,false,CU2091,AC0269,True,standard,2025-05-28,2030-06-22
CA3058,false,CU1052,AC0611,True,standard,2025-05-09,2030-01-10
CA1751,false,CU4332,AC2739,True,standard,2019-03-25,2029-09-22
CA1045,false,CU3530,AC4351,True,standard,2022-10-01,2030-06-12
CA2550,false,CU2711,AC0666,True,standard,2020-08-02,2026-01-20
CA4905,false,CU1215,AC5173,True,standard,2023-04-08,2030-05-28
CA3229,generic,CU2706,AC1811,False,standard,2024-03-07,2029-04-02
CA4727,false,CU2947,AC0682,True,standard,2018-01-03,2025-11-03
CA1758,false,CU2863,AC1166,True,standard,2025-01-03,2029-08-07
CA1170,false,CU3892,AC3203,True,standard,2018-05-13,2026-10-17
CA1428,phishing,CU3394,AC4404,False,standard,2021-12-07,2029-12-18
CA1036,false,CU1105,AC0806,False,standard,2016-11-15,2025-10-04
CA3174,false,CU1106,AC3983,True,standard,2019-04-17,2030-04-14
CA1943,false,CU3215,AC1124,True,standard,2022-08-21,2030-06-17
CA5075,false,CU1312,AC1236,True,standard,2023-12-10,2028-11-04
CA0325,false,CU2304,AC0011,True,standard,2019-03-03,2029-12-09
CA4724,false,CU1633,AC0753,True,standard,2021-04-13,2029-04-24
CA0829,false,CU1293,AC1733,True,standard,2023-12-14,2026-08-14
CA4785,false,CU3590,AC3711,True,standard,2017-02-12,2026-01-26
CA0097,false,CU2956,AC4997,True,standard,2018-04-07,2029-01-08
CA0202,false,CU3233,AC4365,True,standard,2023-09-03,2026-07-16
CA3818,false,CU4245,AC0766,True,standard,2023-03-09,2028-12-06
CA0037,false,CU4736,AC3421,True,standard,2022-12-23,2029-12-18
CA0024,generic,CU0065,AC1494,False,standard,2021-05-28,2030-04-03
CA4691,false,CU4699,AC2176,True,standard,2023-01-18,2026-01-26
CA2598,false,CU0138,AC1094,False,standard,2023-07-12,2026-08-02
CA2728,false,CU1114,AC2776,False,standard,2020-01-07,2026-01-21
CA3656,false,CU1901,AC0821,True,standard,2020-11-14,2026-10-31
CA4546,false,CU2175,AC2872,True,standard,2025-01-21,2029-08-22
CA3854,generic,CU4921,AC3269,False,standard,2022-05-15,2025-06-01
CA4771,false,CU4610,AC0890,False,standard,2021-11-20,2029-10-13
CA1032,phishing,CU2296,AC0684,False,standard,2024-07-30,2029-08-27
CA0760,false,CU2727,AC0953,True,standard,2018-08-16,2029-09-06
CA4804,false,CU1156,AC5136,True,standard,2023-12-14,2025-12-24
CA4325,false,CU0699,AC5243,True,standard,2021-09-26,2029-10-21
CA1087,false,CU5070,AC2636,True,standard,2025-02-03,2029-12-03
CA3724,false,CU4575,AC0008,True,standard,2024-06-23,2029-09-16
CA4566,false,CU2089,AC2987,True,standard,2023-02-13,2025-12-18
CA1499,false,CU4778,AC3722,True,standard,2018-05-25,2029-05-17
CA5041,false,CU0294,AC4712,True,standard,2025-05-24,2025-12-29
CA2283,false,CU2942,AC4953,True,standard,2018-12-04,2030-05-18
CA3404,false,CU0584,AC1643,True,standard,2022-11-21,2030-07-04
CA1978,false,CU2216,AC2267,True,standard,2017-08-03,2030-05-11
CA0103,false,CU0172,AC1431,True,standard,2019-07-20,2030-07-04
CA3487,generic,CU4162,AC1921,False,standard,2020-07-29,2026-08-10
CA4678,false,CU4196,AC4666,True,standard,2024-01-01,2028-12-10
CA2514,false,CU1233,AC0679,True,standard,2018-06-16,2029-04-22
CA2963,false,CU4023,AC2090,True,standard,2020-04-30,2030-04-09
CA0482,false,CU0741,AC0745,True,standard,2023-12-11,2029-09-14
CA0935,false,CU2966,AC2149,True,standard,2018-08-20,2029-05-05
CA0448,false,CU2380,AC4343,True,standard,2022-02-25,2030-02-25
CA0229,false,CU1932,AC5064,True,standard,2019-05-29,2030-06-01
CA2405,false,CU2221,AC2236,True,standard,2019-07-26,2030-07-14
CA4118,false,CU1299,AC3208,True,standard,2020-03-03,2030-04-12
CA4007,false,CU1416,AC4793,True,standard,2017-05-09,2026-05-07
CA0290,false,CU3887,AC4154,True,standard,2023-10-20,2028-11-16
CA1601,false,CU5128,AC1536,True,standard,2017-12-18,2026-07-31
CA3985,false,CU2968,AC0192,True,standard,2025-03-27,2025-10-05
CA2718,false,CU3396,AC4159,True,gold,2020-11-20,2026-09-18
CA1304,false,CU3837,AC2756,False,gold,2023-10-01,2028-10-23
CA1235,false,CU2900,AC2747,True,gold,2022-07-19,2030-07-15
CA3754,false,CU3234,AC0799,True,gold,2024-12-17,2029-03-01
CA2085,false,CU1459,AC3855,True,gold,2023-09-24,2026-06-30
CA2525,false,CU1099,AC1222,True,gold,2025-01-29,2030-02-01
CA0888,false,CU0144,AC1111,True,gold,2025-04-08,2030-04-08
CA5135,false,CU5203,AC4668,True,gold,2020-09-11,2029-07-24
CA0334,false,CU2269,AC3426,True,gold,2025-02-27,2030-03-06
CA3863,phishing,CU4310,AC1490,False,gold,2024-12-24,2026-07-21
CA0815,false,CU5324,AC4892,True,gold,2021-03-20,2029-04-10
CA1226,false,CU0952,AC3130,True,gold,2025-04-17,2030-04-10
CA0200,false,CU0217,AC0958,True,gold,2021-05-16,2029-05-13
CA4449,false,CU3344,AC4837,True,gold,2021-08-28,2029-09-14
CA1514,false,CU4428,AC4081,True,gold,2021-02-21,2030-07-25
CA1451,false,CU0317,AC4608,True,gold,2025-05-29,2030-04-24
CA5142,false,CU4451,AC1996,True,gold,2022-03-23,2030-08-20
CA1777,false,CU0308,AC3460,True,gold,2025-03-17,2030-03-25
CA1248,false,CU3176,AC2791,False,gold,2020-06-15,2026-07-20
CA0442,false,CU0943,AC2652,True,gold,2019-08-20,2025-09-13
CA0851,false,CU2434,AC0143,True,gold,2022-07-24,2029-11-09
CA4672,false,CU2501,AC5296,True,gold,2023-12-27,2030-04-09
CA0636,false,CU5170,AC3497,True,gold,2022-02-11,2030-02-21
CA4493,false,CU5169,AC1972,True,gold,2024-11-20,2029-11-21
CA3341,false,CU1560,AC3575,False,gold,2025-06-11,2030-05-21
CA1753,false,CU3733,AC3643,True,gold,2023-06-17,2026-05-12
CA2708,false,CU1570,AC1386,True,gold,2020-01-10,2026-01-04
CA2607,false,CU5266,AC4226,True,gold,2025-02-22,2030-02-28
CA1856,false,CU4389,AC4582,True,gold,2019-10-21,2025-11-25
CA0509,false,CU0957,AC0668,True,gold,2020-05-31,2026-07-06
CA4700,generic,CU5347,AC2810,False,gold,2021-11-02,2029-11-27
CA4363,phishing,CU3950,AC4901,False,gold,2024-06-24,2029-07-20
CA0889,false,CU1229,AC4919,True,gold,2023-08-22,2026-06-11
CA0376,false,CU2203,AC5029,True,gold,2016-05-07,2030-04-03
CA3354,false,CU2724,AC0767,True,gold,2024-10-20,2029-11-14
CA2494,false,CU2054,AC2117,True,gold,2023-05-15,2030-02-21
CA2303,false,CU4127,AC2941,True,gold,2021-12-15,2029-12-16
CA3030,false,CU0540,AC5089,True,gold,2025-03-27,2029-03-20
CA1930,false,CU5342,AC1844,True,gold,2021-04-02,2029-04-05
CA4503,false,CU0370,AC3551,True,gold,2021-09-14,2029-09-30
CA3257,false,CU3163,AC0593,True,gold,2021-09-13,2029-07-26
CA1462,false,CU4935,AC2966,True,gold,2023-12-22,2029-01-17
CA4956,false,CU4729,AC2742,True,gold,2025-06-03,2030-05-11
CA1438,false,CU5114,AC3098,True,gold,2025-03-05,2030-02-19
CA3786,false,CU4876,AC1255,True,gold,2024-06-30,2029-07-09
CA3566,false,CU3581,AC0036,True,gold,2025-03-28,2030-03-26
CA3971,false,CU2253,AC3028,True,gold,2023-08-02,2026-04-07
CA3908,false,CU0026,AC1249,True,gold,2024-04-19,2029-04-20
CA4157,false,CU5151,AC0965,False,gold,2023-09-30,2026-10-02
CA3203,false,CU2186,AC3197,True,gold,2025-03-23,2030-04-06
CA0365,phishing,CU2524,AC0622,False,gold,2024-09-11,2029-09-19
CA3248,false,CU1694,AC4500,True,gold,2024-09-10,2029-11-15
CA4551,false,CU0694,AC4660,True,gold,2019-12-21,2026-01-04
CA1901,false,CU4502,AC0426,True,gold,2025-04-05,2030-02-04
CA1250,false,CU5192,AC2359,False,gold,2024-06-23,2030-05-08
CA2150,false,CU1013,AC2205,True,gold,2024-06-19,2029-05-09
CA2781,false,CU4614,AC2305,True,gold,2022-09-04,2025-10-05
CA5381,false,CU2351,AC5314,True,gold,2025-03-02,2030-03-14
CA5090,false,CU4920,AC1581,True,gold,2022-10-30,2025-11-15
CA5213,false,CU0839,AC3915,True,gold,2024-11-16,2026-08-29
CA2469,false,CU2987,AC2977,True,gold,2021-12-02,2029-12-13
CA1352,false,CU5366,AC1926,True,gold,2024-04-03,2029-04-09
CA1385,false,CU2790,AC5082,True,gold,2025-03-20,2030-02-06
CA1391,generic,CU0577,AC0718,False,gold,2022-09-06,2025-09-16
CA5012,false,CU0989,AC4641,True,gold,2023-04-22,2026-05-13
CA4377,false,CU5161,AC0022,True,gold,2025-04-30,2030-03-19
CA1374,false,CU3877,AC2399,True,gold,2024-10-30,2029-11-18
CA0308,false,CU4088,AC1393,True,gold,2019-03-30,2030-04-23
CA3360,false,CU3449,AC3231,True,gold,2025-04-11,2030-04-18
CA3884,false,CU2625,AC2627,True,gold,2022-10-26,2025-11-08
CA4260,false,CU4412,AC3666,True,gold,2025-03-26,2030-02-22
CA0216,false,CU2719,AC4290,True,gold,2023-08-26,2028-09-03
CA2861,false,CU1904,AC2210,True,gold,2024-08-27,2028-12-21
CA1571,false,CU4223,AC3307,False,gold,2025-01-04,2030-01-08
CA4484,generic,CU3880,AC1416,False,gold,2022-06-20,2026-04-22
CA2868,false,CU1561,AC3034,True,gold,2024-11-15,2029-11-16
CA0581,false,CU4016,AC2281,True,gold,2021-03-10,2029-03-02
CA1434,false,CU2958,AC4117,True,gold,2025-06-03,2030-04-22
CA1378,false,CU0425,AC2235,True,gold,2020-01-20,2026-04-13
CA1674,false,CU4257,AC2710,True,gold,2025-02-10,2030-02-17
CA3957,false,CU3659,AC4679,True,gold,2021-09-27,2029-10-17
CA3763,false,CU4122,AC1676,True,gold,2023-12-31,2026-03-22
CA4558,false,CU3609,AC0548,True,gold,2023-07-18,2026-08-17
CA3965,false,CU4057,AC2115,True,gold,2025-05-27,2030-05-15
CA4179,false,CU4695,AC2441,True,gold,2025-03-27,2029-10-04
CA1287,false,CU3592,AC4886,True,gold,2025-05-13,2030-04-07
CA1063,false,CU0125,AC4464,False,gold,2025-04-04,2030-04-07
CA3740,false,CU4043,AC2481,True,gold,2025-03-09,2030-03-13
CA5382,phishing,CU3914,AC5132,False,gold,2022-03-02,2029-12-29
CA4690,false,CU2780,AC1703,False,gold,2023-03-03,2026-03-05
CA4310,false,CU3773,AC0427,True,gold,2024-11-05,2029-11-18
CA1151,false,CU4754,AC2067,True,gold,2023-03-23,2025-11-04
CA3745,false,CU3268,AC3233,True,gold,2025-03-23,2030-03-22
CA1743,false,CU1024,AC1806,True,gold,2023-09-02,2028-09-03
CA4039,false,CU1869,AC2501,True,gold,2021-09-04,2029-09-04
CA3935,false,CU4636,AC2936,True,gold,2019-10-20,2030-03-09
CA2714,false,CU2441,AC2726,True,gold,2023-04-05,2026-09-23
CA0041,false,CU1410,AC2291,True,gold,2024-06-05,2029-04-04
CA3950,false,CU1833,AC5083,True,gold,2020-01-14,2030-09-06
CA4779,false,CU0965,AC5232,True,gold,2020-01-13,2026-01-02
CA4612,false,CU4979,AC4708,True,gold,2025-04-21,2029-01-07
CA2179,false,CU3757,AC1764,True,gold,2024-12-28,2030-01-26
CA2730,false,CU0035,AC3333,True,gold,2025-01-06,2029-09-14
CA2716,false,CU0937,AC0044,True,gold,2019-09-16,2025-10-10
CA1954,false,CU2665,AC1267,True,gold,2021-01-26,2029-01-23
CA4146,false,CU4504,AC1845,True,gold,2023-05-27,2030-04-13
CA4032,false,CU4592,AC4573,True,gold,2025-04-07,2030-02-06
CA5144,false,CU1025,AC3648,True,gold,2025-04-26,2030-04-04
CA1120,false,CU1241,AC4957,True,gold,2025-04-27,2030-04-17
CA3443,false,CU2044,AC2585,True,gold,2025-04-01,2030-04-04
CA2832,false,CU4439,AC1835,True,gold,2020-12-11,2029-01-06
CA2345,false,CU2193,AC3154,True,gold,2025-02-24,2030-02-10
CA1846,false,CU2962,AC0554,True,gold,2025-04-11,2030-03-07
CA4443,generic,CU1084,AC2677,True,gold,2023-11-08,2028-12-01
CA0151,false,CU0643,AC5227,False,gold,2024-10-01,2029-10-20
CA1114,false,CU3001,AC2384,True,gold,2024-06-18,2029-07-22
CA1989,generic,CU0857,AC2612,False,gold,2017-12-19,2026-08-20
CA4276,false,CU3829,AC1610,True,gold,2024-05-25,2029-05-08
CA0674,false,CU1143,AC1876,True,gold,2023-11-03,2026-07-18
CA4968,false,CU2549,AC0538,True,gold,2020-03-31,2026-04-01
CA0240,false,CU2945,AC3772,True,gold,2023-02-19,2026-02-08
CA3242,false,CU1073,AC1595,True,gold,2025-03-07,2030-03-25
CA0436,false,CU2017,AC1063,True,gold,2018-08-06,2029-08-25
CA3734,false,CU1533,AC2658,True,gold,2016-09-07,2030-08-29
CA2328,false,CU3664,AC1330,True,gold,2016-12-17,2025-12-06
CA2144,false,CU0824,AC4189,True,gold,2019-06-19,2026-01-05
CA3318,false,CU3280,AC2827,True,gold,2021-11-14,2030-05-08
CA3737,false,CU5043,AC3807,True,gold,2019-03-01,2026-06-15
CA4330,false,CU1927,AC0693,True,gold,2023-08-17,2026-07-22
CA2848,false,CU3115,AC1566,True,gold,2024-09-27,2029-09-27
CA3137,false,CU1081,AC1628,False,gold,2022-11-11,2025-11-13
CA3335,false,CU0193,AC2140,True,gold,2022-06-14,2030-06-11
CA5056,false,CU2164,AC5293,False,gold,2024-12-13,2028-11-15
CA0867,false,CU4756,AC5028,True,gold,2024-07-11,2029-03-22
CA3644,false,CU3701,AC3756,True,gold,2020-03-19,2030-07-12
CA4025,false,CU0338,AC1068,True,gold,2024-04-10,2029-06-26
CA4411,false,CU0492,AC5128,True,gold,2023-04-01,2029-07-02
CA1765,false,CU0204,AC3386,True,gold,2025-05-12,2029-03-13
CA4817,generic,CU3258,AC1977,True,gold,2020-03-08,2030-03-01
CA3803,false,CU0078,AC3847,True,gold,2024-10-22,2026-03-08
CA3003,false,CU1371,AC3958,True,gold,2018-07-02,2029-06-18
CA5001,false,CU1217,AC0479,True,gold,2021-03-10,2029-02-19
CA3616,false,CU2041,AC3062,True,gold,2024-08-13,2028-12-15
CA3767,false,CU1686,AC3392,True,gold,2024-01-10,2026-02-12
CA2897,generic,CU1775,AC3430,False,gold,2017-02-20,2026-03-19
CA0321,false,CU0297,AC2214,True,gold,2022-07-06,2030-07-22
CA0049,false,CU3924,AC3234,True,gold,2019-12-27,2025-12-24
CA1991,false,CU4482,AC1833,True,gold,2017-09-11,2026-03-03
CA2105,false,CU2101,AC0769,True,gold,2025-05-08,2029-11-29
CA3517,false,CU2226,AC2421,True,gold,2022-06-17,2030-06-04
CA5200,false,CU0968,AC4182,True,gold,2023-07-02,2026-07-14
CA4550,false,CU2431,AC1429,True,gold,2023-08-03,2025-12-30
CA1921,false,CU0587,AC2528,True,gold,2024-12-17,2028-12-25
CA0492,false,CU0310,AC2789,True,gold,2022-08-28,2030-07-19
CA3149,false,CU0194,AC1689,True,gold,2022-10-23,2025-10-16
CA1015,false,CU4398,AC3701,False,gold,2019-10-29,2026-04-08
CA4188,false,CU1403,AC1474,True,gold,2021-06-24,2029-06-14
CA0952,false,CU1668,AC1788,True,gold,2023-09-12,2026-09-22
CA4563,false,CU2645,AC0129,True,gold,2020-06-20,2026-07-08
CA0505,false,CU0356,AC4626,True,gold,2017-08-21,2026-09-02
CA2036,false,CU0853,AC1294,True,gold,2025-04-23,2030-07-19
CA4663,false,CU0608,AC4614,True,gold,2017-02-07,2026-02-13
CA2422,false,CU1224,AC4495,True,gold,2022-10-07,2030-02-11
CA2213,false,CU3447,AC2237,True,gold,2020-10-08,2026-10-20
CA0611,false,CU4029,AC4755,True,gold,2018-05-12,2029-04-05
CA4263,false,CU4148,AC1987,True,gold,2022-09-26,2030-07-11
CA0000,false,CU0321,AC0012,True,gold,2016-09-15,2025-10-03
CA4509,false,CU1017,AC1134,True,gold,2025-01-13,2025-12-20
CA2882,false,CU3081,AC2674,True,platinum,2022-01-30,2030-03-09
CA5042,false,CU2421,AC2428,True,platinum,2023-10-01,2026-10-25
CA2640,false,CU2959,AC1782,True,platinum,2023-03-20,2026-04-09
CA4680,false,CU1033,AC4386,True,platinum,2023-07-18,2026-08-19
CA4572,false,CU4053,AC3007,False,platinum,2025-01-27,2028-06-25
CA0048,false,CU3807,AC4120,False,platinum,2024-03-21,2025-11-09
CA4948,false,CU0231,AC4743,True,platinum,2017-09-24,2026-10-26
CA3472,false,CU4536,AC2845,True,platinum,2024-03-16,2029-03-14
CA1429,false,CU3519,AC3260,True,platinum,2023-04-05,2026-04-10
CA2697,false,CU0252,AC2865,True,platinum,2024-05-29,2027-06-21
CA0582,false,CU3193,AC2749,True,platinum,2018-07-29,2027-08-13
CA1334,false,CU0068,AC4346,True,platinum,2020-04-20,2026-04-23
CA1679,false,CU4151,AC2025,True,platinum,2024-12-16,2027-11-14
CA0555,false,CU1785,AC4214,True,platinum,2024-01-17,2029-02-13
CA2231,false,CU3777,AC1956,True,platinum,2023-08-29,2026-08-23
