merchant_id,merchant_group
ME242,Utilities
ME338,Service Providers
ME280,Utilities
ME088,Utilities
ME101,Wholesale Distributors and Manufacturers
ME106,Wholesale Distributors and Manufacturers
ME257,Wholesale Distributors and Manufacturers
ME352,Wholesale Distributors and Manufacturers
ME201,Wholesale Distributors and Manufacturers
ME324,Wholesale Distributors and Manufacturers
ME151,Wholesale Distributors and Manufacturers
ME055,Wholesale Distributors and Manufacturers
ME077,Wholesale Distributors and Manufacturers
ME199,Wholesale Distributors and Manufacturers
ME295,Wholesale Distributors and Manufacturers
ME060,Wholesale Distributors and Manufacturers
ME043,Wholesale Distributors and Manufacturers
ME232,Wholesale Distributors and Manufacturers
ME137,Wholesale Distributors and Manufacturers
ME219,Wholesale Distributors and Manufacturers
ME283,Wholesale Distributors and Manufacturers
ME311,Wholesale Distributors and Manufacturers
ME175,Wholesale Distributors and Manufacturers
ME148,Wholesale Distributors and Manufacturers
ME332,Wholesale Distributors and Manufacturers
ME237,Wholesale Distributors and Manufacturers
ME244,Wholesale Distributors and Manufacturers
ME373,Wholesale Distributors and Manufacturers
ME357,Wholesale Distributors and Manufacturers
ME252,Wholesale Distributors and Manufacturers
ME272,Wholesale Distributors and Manufacturers
ME224,Business Services
ME155,Business Services
ME051,Business Services
ME297,Business Services
ME273,Automobile/Vehicle Rentals
ME129,Automobile/Vehicle Rentals
ME033,Automobile/Vehicle Rentals
ME359,Business Services
ME308,Repair Services
ME074,Repair Services
ME188,Repair Services
ME049,Repair Services
ME024,Repair Services
ME274,Repair Services
ME278,Repair Services
ME310,Contracted Services
ME289,Contracted Services
ME206,Contracted Services
ME114,Airlines
ME005,Airlines
ME131,Airlines
ME358,Airlines
ME367,Airlines
ME353,Airlines
ME133,Automobile/Vehicle Rentals
ME079,Automobile/Vehicle Rentals
ME333,Automobile/Vehicle Rentals
ME068,Automobile/Vehicle Rentals
ME187,Automobile/Vehicle Rentals
ME196,Automobile/Vehicle Rentals
ME007,Automobile/Vehicle Rentals
ME264,Automobile/Vehicle Rentals
ME072,Automobile/Vehicle Rentals
ME320,Automobile/Vehicle Rentals
ME050,Hotels and Motels
ME356,Hotels and Motels
ME376,Hotels and Motels
ME277,Hotels and Motels
ME120,Hotels and Motels
ME158,Service Providers
ME136,Miscellaneous Stores
ME235,Miscellaneous Stores
ME255,Miscellaneous Stores
ME037,Miscellaneous Stores
ME174,Miscellaneous Stores
ME189,Miscellaneous Stores
ME200,Miscellaneous Stores
ME302,Miscellaneous Stores
ME349,Miscellaneous Stores
ME331,Miscellaneous Stores
ME362,Miscellaneous Stores
ME191,Miscellaneous Stores
ME190,Miscellaneous Stores
ME364,Miscellaneous Stores
ME085,Miscellaneous Stores
ME288,Miscellaneous Stores
ME164,Miscellaneous Stores
ME339,Miscellaneous Stores
ME087,Miscellaneous Stores
ME073,Miscellaneous Stores
ME291,Miscellaneous Stores
ME105,Miscellaneous Stores
ME363,Miscellaneous Stores
ME346,Mail Order/Telephone Order Providers
ME056,Mail Order/Telephone Order Providers
ME313,Miscellaneous Stores
ME377,Mail Order/Telephone Order Providers
ME294,Wholesale Distributors and Manufacturers
ME156,Amusement and Entertainment
ME163,Amusement and Entertainment
ME025,Amusement and Entertainment
ME316,Amusement and Entertainment
ME193,Amusement and Entertainment
ME015,Amusement and Entertainment
ME117,Amusement and Entertainment
ME290,Amusement and Entertainment
ME103,Amusement and Entertainment
ME059,Amusement and Entertainment
ME323,Amusement and Entertainment
ME251,Amusement and Entertainment
ME116,Amusement and Entertainment
ME351,Amusement and Entertainment
ME298,Amusement and Entertainment
ME149,Amusement and Entertainment
ME179,Amusement and Entertainment
ME047,Professional Services and Membership Organizations
ME150,Professional Services and Membership Organizations
ME322,Professional Services and Membership Organizations
ME035,Professional Services and Membership Organizations
ME095,Professional Services and Membership Organizations
ME173,Professional Services and Membership Organizations
ME205,Professional Services and Membership Organizations
ME282,Professional Services and Membership Organizations
ME258,Hotels and Motels
ME210,Hotels and Motels
ME246,Hotels and Motels
ME019,Hotels and Motels
ME216,Hotels and Motels
ME345,Hotels and Motels
ME240,Hotels and Motels
ME081,Hotels and Motels
ME208,Hotels and Motels
ME228,Hotels and Motels
ME125,Hotels and Motels
ME018,Hotels and Motels
ME132,Retail Stores
ME057,Retail Stores
ME126,Retail Stores
ME064,Retail Stores
ME236,Retail Stores
ME259,
ME249,Retail Stores
ME118,Retail Stores
ME028,Retail Stores
ME044,Retail Stores
ME185,Retail Stores
ME253,Retail Stores
ME153,Retail Stores
ME090,Retail Stores
ME001,Retail Stores
ME344,Retail Stores
ME203,Retail Stores
ME119,Retail Stores
ME271,Retail Stores
ME233,Automobiles and Vehicles
ME366,Automobiles and Vehicles
ME169,Automobiles and Vehicles
ME076,Automobiles and Vehicles
ME143,Professional Services and Membership Organizations
ME002,Professional Services and Membership Organizations
ME296,Professional Services and Membership Organizations
ME194,Professional Services and Membership Organizations
ME266,Professional Services and Membership Organizations
ME061,Professional Services and Membership Organizations
ME250,Professional Services and Membership Organizations
ME239,Professional Services and Membership Organizations
ME166,Professional Services and Membership Organizations
ME107,Professional Services and Membership Organizations
ME110,Hotels and Motels
ME009,Hotels and Motels
ME287,Hotels and Motels
ME281,Hotels and Motels
ME042,Mail Order/Telephone Order Providers
ME293,Mail Order/Telephone Order Providers
ME263,Mail Order/Telephone Order Providers
ME300,Mail Order/Telephone Order Providers
ME361,Miscellaneous Stores
ME286,Miscellaneous Stores
ME336,Miscellaneous Stores
ME113,Miscellaneous Stores
ME130,Miscellaneous Stores
ME178,Miscellaneous Stores
ME341,Miscellaneous Stores
ME318,Miscellaneous Stores
ME067,Miscellaneous Stores
ME124,Miscellaneous Stores
ME168,Miscellaneous Stores
ME082,Miscellaneous Stores
ME306,Miscellaneous Stores
ME192,Miscellaneous Stores
ME328,Miscellaneous Stores
ME218,Miscellaneous Stores
ME301,Service Providers
ME115,Service Providers
ME038,Service Providers
ME180,Service Providers
ME243,Service Providers
ME159,Service Providers
ME354,Service Providers
ME325,
ME260,Hotels and Motels
ME017,Professional Services and Membership Organizations
ME254,Professional Services and Membership Organizations
ME347,Professional Services and Membership Organizations
ME230,Professional Services and Membership Organizations
ME138,Professional Services and Membership Organizations
ME262,Professional Services and Membership Organizations
ME111,Professional Services and Membership Organizations
ME100,Professional Services and Membership Organizations
ME241,Contracted Services
ME032,Hotels and Motels
ME108,Hotels and Motels
ME350,Hotels and Motels
ME020,Hotels and Motels
ME177,Hotels and Motels
ME066,Hotels and Motels
ME122,Hotels and Motels
ME312,Automobiles and Vehicles
ME181,Automobiles and Vehicles
ME371,Automobiles and Vehicles
ME094,Automobiles and Vehicles
ME369,Automobiles and Vehicles
ME052,Automobiles and Vehicles
ME078,Automobiles and Vehicles
ME008,Clothing Stores
ME317,Clothing Stores
ME226,Clothing Stores
ME062,Clothing Stores
ME268,Clothing Stores
ME315,Clothing Stores
ME245,Clothing Stores
ME004,Clothing Stores
ME070,Clothing Stores
ME167,Clothing Stores
ME031,Clothing Stores
ME135,Clothing Stores
ME104,Miscellaneous Stores
ME198,Miscellaneous Stores
ME093,Miscellaneous Stores
ME152,Miscellaneous Stores
ME096,Miscellaneous Stores
ME171,Miscellaneous Stores
ME314,Miscellaneous Stores
ME211,Miscellaneous Stores
ME220,Miscellaneous Stores
ME195,Miscellaneous Stores
ME183,Professional Services and Membership Organizations
ME204,Government Services
ME140,Government Services
ME303,Government Services
ME065,Transportation
ME016,Government Services
ME326,Government Services
ME128,Contracted Services
ME248,Contracted Services
ME021,Contracted Services
ME330,Contracted Services
ME247,Contracted Services
ME154,Hotels and Motels
ME022,Hotels and Motels
ME234,Hotels and Motels
ME335,Hotels and Motels
ME063,Hotels and Motels
ME123,Hotels and Motels
ME221,Automobiles and Vehicles
